original_region,original_pdf,prior_cases_count,county,pdf_file
Clark,02_14_2023_ID_1501176.pdf,1,Clark,02_14_2023_ID_1501176.pdf
Clark,2020-01-11_ID 1450365 DUPE.pdf,4,Clark,2020-01-11_ID 1450365 DUPE.pdf
Clark,2020-01-11_ID 1450365_Final(1).pdf,4,Clark,2020-01-11_ID 1450365_Final(1).pdf
Clark,2020-01-17_ID1466850.pdf,0,Clark,2020-01-17_ID1466850.pdf
Clark,2020-01-19_Ref 1924340.pdf,0,Clark,2020-01-19_Ref 1924340.pdf
Clark,2020-01-22_ID 1462255.pdf,3,Clark,2020-01-22_ID 1462255.pdf
Clark,2020-01-31_ID 1442547(1).pdf,3,Clark,2020-01-31_ID 1442547(1).pdf
Clark,2020-02-15_ID 1468130.pdf,0,Clark,2020-02-15_ID 1468130.pdf
Clark,2020-02-25_ID 1468517.pdf,0,Clark,2020-02-25_ID 1468517.pdf
Clark,2020-03-17_ID 1418550(1).pdf,1,Clark,2020-03-17_ID 1418550(1).pdf
Clark,2020-03-23_ID1481919.pdf,0,Clark,2020-03-23_ID1481919.pdf
Clark,2020-03-30_ID 1469735.pdf,0,Clark,2020-03-30_ID 1469735.pdf
Clark,2020-03-30_ID 1469766(1).pdf,0,Clark,2020-03-30_ID 1469766(1).pdf
Clark,2020-04-02_ID 1441366.pdf,1,Clark,2020-04-02_ID 1441366.pdf
Clark,2020-04-11_ID 1474628 (002) DUPE.pdf,0,Clark,2020-04-11_ID 1474628 (002) DUPE.pdf
Clark,2020-04-11_ID 1474628 (003).pdf,0,Clark,2020-04-11_ID 1474628 (003).pdf
Clark,2020-04-20_ID 1470302(1).pdf,0,Clark,2020-04-20_ID 1470302(1).pdf
Clark,2020-04-23_ID 1470411 (003).pdf,0,Clark,2020-04-23_ID 1470411 (003).pdf
Clark,2020-04-27_ID 1425426 (003).pdf,2,Clark,2020-04-27_ID 1425426 (003).pdf
Clark,2020-05-06_ID 1365999(1) DUPE.pdf,15,Clark,2020-05-06_ID 1365999(1) DUPE.pdf
Clark,2020-05-06_ID 1365999_60 Day.pdf,15,Clark,2020-05-06_ID 1365999_60 Day.pdf
Clark,2020-05-08_ID 1460592 (004) DUPE.pdf,1,Clark,2020-05-08_ID 1460592 (004) DUPE.pdf
