original_region,original_pdf,prior_cases_count,county,pdf_file
Washoe,1474590-2.3.23.pdf,0,Washoe,1474590-2.3.23.pdf
Washoe,1483793_Public_Disclosue_5_Day.pdf,0,Washoe,1483793_Public_Disclosue_5_Day.pdf
Washoe,1509493-4.8.2023.pdf,0,Washoe,1509493-4.8.2023.pdf
Washoe,2021_12_30_ID_1492644.pdf,0,Washoe,2021_12_30_ID_1492644.pdf
Washoe,2021_12_30_ID_1492665.pdf,0,Washoe,2021_12_30_ID_1492665.pdf
Washoe,2_13_21_1475621.pdf,1,Washoe,2_13_21_1475621.pdf
Washoe,48_hour_Disclosre_Case_1481343.pdf,0,Washoe,48_hour_Disclosre_Case_1481343.pdf
Washoe,48_hour_PD_1475521.pdf,0,Washoe,48_hour_PD_1475521.pdf
Washoe,48_hour_public_disclosure_1331035.pdf,5,Washoe,48_hour_public_disclosure_1331035.pdf
Washoe,48_hour_Public_Disclosure_1433584.pdf,4,Washoe,48_hour_Public_Disclosure_1433584.pdf
Washoe,5_day_near_fatality_notification_1359552.pdf,0,Washoe,5_day_near_fatality_notification_1359552.pdf
Washoe,5_Day_PD_1493479.pdf,0,Washoe,5_Day_PD_1493479.pdf
Washoe,5_day_PD_1494138.pdf,0,Washoe,5_day_PD_1494138.pdf
Washoe,5_day_public_disclosure_1335050.pdf,0,Washoe,5_day_public_disclosure_1335050.pdf
Washoe,5_day_public_disclosure_1399555.pdf,2,Washoe,5_day_public_disclosure_1399555.pdf
Washoe,5_day_public_disclosure_1488669.pdf,4,Washoe,5_day_public_disclosure_1488669.pdf
Washoe,5_day_public_disclosure_1490895.pdf,0,Washoe,5_day_public_disclosure_1490895.pdf
Washoe,60_day_Final_disclosure_1388014(2).pdf,11,Washoe,60_day_Final_disclosure_1388014(2).pdf
Washoe,Child Death_FPO_0401A_Public_Disclosure_ADA_Form_revised_2021_Sept_9_2023.pdf,0,Washoe,Child Death_FPO_0401A_Public_Disclosure_ADA_Form_revised_2021_Sept_9_2023.pdf
Washoe,Disclosure_1334727_12823.pdf,0,Washoe,Disclosure_1334727_12823.pdf
Washoe,Disclosure_1371614-12.19.23.pdf,0,Washoe,Disclosure_1371614-12.19.23.pdf
Washoe,Fatality_Disclosure_1459193.pdf,0,Washoe,Fatality_Disclosure_1459193.pdf
Washoe,Final_disclosure_1487636.pdf,0,Washoe,Final_disclosure_1487636.pdf
Washoe,FPO_0401A_-_1483585.pdf,0,Washoe,FPO_0401A_-_1483585.pdf
Washoe,FPO_0401A_Public_Disclosure_1493682.pdf,0,Washoe,FPO_0401A_Public_Disclosure_1493682.pdf
Washoe,Near_Fatality_Public_Disclosure_1418598.pdf,5,Washoe,Near_Fatality_Public_Disclosure_1418598.pdf
Washoe,PD_1258217-_not_assigned_as_investigation.pdf,0,Washoe,PD_1258217-_not_assigned_as_investigation.pdf
Washoe,PD_1331047_not_assigned_as_investigation.pdf,0,Washoe,PD_1331047_not_assigned_as_investigation.pdf
Washoe,PD_1410946.pdf,0,Washoe,PD_1410946.pdf
Washoe,PD_1455428_5_day.pdf,0,Washoe,PD_1455428_5_day.pdf
Washoe,PD_1496411.pdf,0,Washoe,PD_1496411.pdf
Washoe,PD_1510850.pdf,1,Washoe,PD_1510850.pdf
Washoe,PD_1514606.pdf,0,Washoe,PD_1514606.pdf
Washoe,PD_2.19.23.pdf,0,Washoe,PD_2.19.23.pdf
Washoe,Public_ Disclosure_1254514_NF.pdf,1,Washoe,Public_ Disclosure_1254514_NF.pdf
Washoe,Public_Disclosure-Fatality_1484792.pdf,2,Washoe,Public_Disclosure-Fatality_1484792.pdf
Washoe,Public_Disclosure-Fatality_1497601.pdf,0,Washoe,Public_Disclosure-Fatality_1497601.pdf
Washoe,Public_Disclosure-_Near_Fatality_1498045.pdf,0,Washoe,Public_Disclosure-_Near_Fatality_1498045.pdf
Washoe,Public_Disclosure_1338584_F.pdf,0,Washoe,Public_Disclosure_1338584_F.pdf
Washoe,Public_Disclosure_1372951_NF_3.30.23.pdf,2,Washoe,Public_Disclosure_1372951_NF_3.30.23.pdf
Washoe,Public_Disclosure_1384342_NF_3.30.23.pdf,3,Washoe,Public_Disclosure_1384342_NF_3.30.23.pdf
Washoe,Public_Disclosure_1391150_F.pdf,0,Washoe,Public_Disclosure_1391150_F.pdf
Washoe,Public_Disclosure_1447765.pdf,6,Washoe,Public_Disclosure_1447765.pdf
